Legend:

1-P =,Untitled 1 Process
1-A =,Untitled 1 Ambient


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C
0,9/13/2014,1:48:05 AM,24,26.0
1,9/13/2014,1:48:06 AM,24,26.0
2,9/13/2014,1:48:07 AM,24,26.0
3,9/13/2014,1:48:08 AM,24,26.0
4,9/13/2014,1:48:09 AM,24,26.0
5,9/13/2014,1:48:10 AM,24,26.0
6,9/13/2014,1:48:11 AM,24,26.0
7,9/13/2014,1:48:12 AM,24,26.0
8,9/13/2014,1:48:13 AM,24,26.0
9,9/13/2014,1:48:14 AM,24,26.0
10,9/13/2014,1:48:15 AM,24,26.0
11,9/13/2014,1:48:16 AM,24,26.0
12,9/13/2014,1:48:17 AM,24,26.0
13,9/13/2014,1:48:18 AM,24,26.0
14,9/13/2014,1:48:19 AM,24,26.0
15,9/13/2014,1:48:20 AM,24,26.0
16,9/13/2014,1:48:21 AM,24,26.0
17,9/13/2014,1:48:22 AM,24,26.0
18,9/13/2014,1:48:23 AM,24,26.0
19,9/13/2014,1:48:24 AM,24,26.0
20,9/13/2014,1:48:25 AM,24,26.0
21,9/13/2014,1:48:26 AM,24,26.0
22,9/13/2014,1:48:27 AM,24,26.0
23,9/13/2014,1:48:28 AM,24,26.0
24,9/13/2014,1:48:29 AM,24,26.0
25,9/13/2014,1:48:30 AM,24,26.0
26,9/13/2014,1:48:31 AM,24,26.0
27,9/13/2014,1:48:32 AM,24,26.0
28,9/13/2014,1:48:33 AM,24,26.0
29,9/13/2014,1:48:34 AM,24,26.0
30,9/13/2014,1:48:35 AM,24,26.0
31,9/13/2014,1:48:36 AM,24,26.0
32,9/13/2014,1:48:37 AM,24,26.0
33,9/13/2014,1:48:38 AM,24,26.0
34,9/13/2014,1:48:39 AM,24,26.0
35,9/13/2014,1:48:40 AM,25,26.0
36,9/13/2014,1:48:41 AM,25,26.0
37,9/13/2014,1:48:42 AM,25,26.0
38,9/13/2014,1:48:43 AM,25,26.0
39,9/13/2014,1:48:44 AM,25,26.0
40,9/13/2014,1:48:45 AM,25,26.0
41,9/13/2014,1:48:46 AM,25,26.0
42,9/13/2014,1:48:47 AM,25,26.0
43,9/13/2014,1:48:48 AM,25,26.0
44,9/13/2014,1:48:49 AM,25,26.0
45,9/13/2014,1:48:50 AM,26,26.0
46,9/13/2014,1:48:51 AM,26,26.0
47,9/13/2014,1:48:52 AM,26,26.0
48,9/13/2014,1:48:53 AM,26,26.0
49,9/13/2014,1:48:54 AM,26,26.0
50,9/13/2014,1:48:55 AM,28,26.0
51,9/13/2014,1:48:56 AM,28,26.0
52,9/13/2014,1:48:57 AM,28,26.0
53,9/13/2014,1:48:58 AM,28,26.0
54,9/13/2014,1:48:59 AM,28,26.0
55,9/13/2014,1:49:00 AM,28,26.0
56,9/13/2014,1:49:01 AM,28,26.0
57,9/13/2014,1:49:03 AM,28,26.0
58,9/13/2014,1:49:04 AM,28,26.0
59,9/13/2014,1:49:05 AM,29,26.0
60,9/13/2014,1:49:06 AM,31,26.0
61,9/13/2014,1:49:07 AM,31,26.0
62,9/13/2014,1:49:08 AM,31,26.0
63,9/13/2014,1:49:09 AM,31,26.0
64,9/13/2014,1:49:10 AM,31,26.0
65,9/13/2014,1:49:11 AM,31,26.0
66,9/13/2014,1:49:12 AM,31,26.0
67,9/13/2014,1:49:13 AM,31,26.0
68,9/13/2014,1:49:14 AM,33,26.0
69,9/13/2014,1:49:15 AM,33,26.0
70,9/13/2014,1:49:16 AM,33,26.0
71,9/13/2014,1:49:17 AM,33,26.0
72,9/13/2014,1:49:18 AM,34,26.0
73,9/13/2014,1:49:19 AM,34,26.0
74,9/13/2014,1:49:20 AM,34,26.0
75,9/13/2014,1:49:21 AM,36,26.0
76,9/13/2014,1:49:22 AM,36,26.0
77,9/13/2014,1:49:23 AM,36,26.0
78,9/13/2014,1:49:24 AM,36,26.0
79,9/13/2014,1:49:25 AM,36,26.0
80,9/13/2014,1:49:26 AM,36,26.0
81,9/13/2014,1:49:27 AM,38,26.0
82,9/13/2014,1:49:28 AM,38,26.0
83,9/13/2014,1:49:29 AM,38,26.0
84,9/13/2014,1:49:30 AM,38,26.0
85,9/13/2014,1:49:31 AM,38,26.0
86,9/13/2014,1:49:32 AM,38,26.0
87,9/13/2014,1:49:33 AM,40,26.0
88,9/13/2014,1:49:34 AM,40,26.0
89,9/13/2014,1:49:35 AM,40,26.0
90,9/13/2014,1:49:36 AM,40,26.0
91,9/13/2014,1:49:37 AM,40,26.0
92,9/13/2014,1:49:38 AM,42,26.0
93,9/13/2014,1:49:39 AM,42,26.0
94,9/13/2014,1:49:40 AM,42,26.0
95,9/13/2014,1:49:41 AM,42,26.0
96,9/13/2014,1:49:42 AM,44,26.0
97,9/13/2014,1:49:43 AM,44,26.0
98,9/13/2014,1:49:44 AM,45,26.0
99,9/13/2014,1:49:45 AM,45,26.0
100,9/13/2014,1:49:46 AM,45,26.0
101,9/13/2014,1:49:47 AM,45,26.0
102,9/13/2014,1:49:48 AM,47,26.0
103,9/13/2014,1:49:49 AM,47,26.0
104,9/13/2014,1:49:50 AM,47,26.0
