Legend:

1-P =,Untitled 1 Process
1-A =,Untitled 1 Ambient


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C
0,9/13/2014,3:41:00 AM,30,26.0
1,9/13/2014,3:41:01 AM,30,26.0
2,9/13/2014,3:41:02 AM,30,26.0
3,9/13/2014,3:41:03 AM,30,26.0
4,9/13/2014,3:41:04 AM,30,26.0
5,9/13/2014,3:41:05 AM,30,26.0
6,9/13/2014,3:41:06 AM,30,26.0
7,9/13/2014,3:41:07 AM,31,26.0
8,9/13/2014,3:41:08 AM,31,26.0
9,9/13/2014,3:41:09 AM,31,26.0
10,9/13/2014,3:41:10 AM,31,26.0
11,9/13/2014,3:41:11 AM,31,26.0
12,9/13/2014,3:41:12 AM,31,26.0
13,9/13/2014,3:41:13 AM,31,26.0
14,9/13/2014,3:41:14 AM,31,26.0
15,9/13/2014,3:41:15 AM,31,26.0
16,9/13/2014,3:41:16 AM,31,26.0
17,9/13/2014,3:41:17 AM,31,26.0
18,9/13/2014,3:41:18 AM,31,26.0
19,9/13/2014,3:41:19 AM,31,26.0
20,9/13/2014,3:41:20 AM,31,26.0
21,9/13/2014,3:41:21 AM,31,26.0
22,9/13/2014,3:41:22 AM,31,26.0
23,9/13/2014,3:41:23 AM,31,26.0
24,9/13/2014,3:41:24 AM,31,26.0
25,9/13/2014,3:41:25 AM,31,26.0
26,9/13/2014,3:41:26 AM,31,26.0
27,9/13/2014,3:41:27 AM,32,26.0
28,9/13/2014,3:41:28 AM,32,26.0
29,9/13/2014,3:41:29 AM,32,26.0
30,9/13/2014,3:41:30 AM,32,26.0
31,9/13/2014,3:41:31 AM,32,26.0
32,9/13/2014,3:41:32 AM,32,26.0
33,9/13/2014,3:41:33 AM,32,26.0
34,9/13/2014,3:41:34 AM,32,26.0
35,9/13/2014,3:41:35 AM,32,26.0
36,9/13/2014,3:41:37 AM,33,26.0
37,9/13/2014,3:41:38 AM,33,26.0
38,9/13/2014,3:41:39 AM,33,26.0
39,9/13/2014,3:41:40 AM,33,26.0
40,9/13/2014,3:41:41 AM,35,26.0
41,9/13/2014,3:41:42 AM,35,26.0
42,9/13/2014,3:41:43 AM,35,26.0
43,9/13/2014,3:41:44 AM,35,26.0
44,9/13/2014,3:41:45 AM,35,26.0
45,9/13/2014,3:41:46 AM,35,26.0
46,9/13/2014,3:41:47 AM,37,26.0
47,9/13/2014,3:41:48 AM,37,26.0
48,9/13/2014,3:41:49 AM,37,26.0
49,9/13/2014,3:41:50 AM,37,26.0
50,9/13/2014,3:41:51 AM,37,26.0
51,9/13/2014,3:41:52 AM,38,26.0
52,9/13/2014,3:41:53 AM,38,26.0
53,9/13/2014,3:41:54 AM,39,26.0
54,9/13/2014,3:41:55 AM,39,26.0
55,9/13/2014,3:41:56 AM,40,26.0
56,9/13/2014,3:41:57 AM,40,26.0
57,9/13/2014,3:41:58 AM,40,26.0
58,9/13/2014,3:41:59 AM,40,26.0
59,9/13/2014,3:42:00 AM,42,26.0
60,9/13/2014,3:42:01 AM,42,26.0
61,9/13/2014,3:42:02 AM,42,26.0
62,9/13/2014,3:42:03 AM,42,26.0
63,9/13/2014,3:42:04 AM,42,26.0
64,9/13/2014,3:42:05 AM,44,26.0
65,9/13/2014,3:42:06 AM,44,26.0
66,9/13/2014,3:42:07 AM,44,26.0
67,9/13/2014,3:42:08 AM,44,26.0
68,9/13/2014,3:42:09 AM,44,26.0
69,9/13/2014,3:42:10 AM,44,26.0
70,9/13/2014,3:42:11 AM,46,26.0
71,9/13/2014,3:42:12 AM,46,26.0
72,9/13/2014,3:42:13 AM,46,26.0
73,9/13/2014,3:42:14 AM,47,26.0
74,9/13/2014,3:42:15 AM,48,26.0
75,9/13/2014,3:42:16 AM,48,26.0
76,9/13/2014,3:42:17 AM,48,26.0
77,9/13/2014,3:42:18 AM,51,26.0
78,9/13/2014,3:42:19 AM,51,26.0
79,9/13/2014,3:42:20 AM,51,26.0
80,9/13/2014,3:42:21 AM,51,26.0
81,9/13/2014,3:42:22 AM,53,26.0
82,9/13/2014,3:42:23 AM,53,26.0
83,9/13/2014,3:42:24 AM,53,26.0
84,9/13/2014,3:42:25 AM,53,26.0
85,9/13/2014,3:42:26 AM,53,26.0
86,9/13/2014,3:42:27 AM,55,26.0
87,9/13/2014,3:42:28 AM,55,26.0
88,9/13/2014,3:42:29 AM,55,26.0
89,9/13/2014,3:42:30 AM,57,26.0
